CAMEO_Code,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
DOM,Dominican Republic,Americas,c,2022,PF,3,3,3,3,3,9,4,3,3,1,11,3,2,2,7,0,,27,2,4,4,4,14,3,4,3,10,3,2,2,1,8,2,3,2,2,9,41,68
ECU,Ecuador,Americas,c,2022,F,2,3,4,4,3,11,3,4,3,3,13,3,2,2,7,0,,31,3,4,3,3,13,3,3,3,9,2,2,2,2,8,3,2,3,2,10,40,71
EGY,Egypt,Africa,c,2022,NF,6,6,0,1,1,2,0,0,1,1,2,0,1,1,2,0,,6,0,1,1,1,3,0,0,1,1,1,0,0,1,2,1,2,2,1,6,12,18
SLV,El Salvador,Americas,c,2022,PF,3,4,4,3,3,10,3,4,2,3,12,2,1,1,4,0,,26,2,3,3,3,11,3,3,2,8,1,1,2,2,6,2,2,2,2,8,33,59
GNQ,Equatorial Guinea,Africa,c,2022,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,5
ERI,Eritrea,Africa,c,2022,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
EST,Estonia,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,3,14,56,94
SWZ,Eswatini,Africa,c,2022,NF,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1,1,2,1,1,5,0,1,1,2,2,1,0,1,4,2,1,1,1,5,16,17
ETH,Ethiopia,Africa,c,2022,NF,5,6,1,1,2,4,1,1,1,1,4,1,2,1,4,0,,12,1,1,1,1,4,1,1,1,3,1,0,0,0,1,0,1,1,1,3,11,23
FJI,Fiji,Asia,c,2022,PF,4,3,3,2,2,7,3,1,2,3,9,3,2,2,7,0,,23,2,4,2,3,11,2,3,2,7,2,1,2,2,7,3,3,2,2,10,35,58
FIN,Finland,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
FRA,France,Europe,c,2022,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,3,4,3,14,3,3,4,10,4,3,3,3,13,4,4,3,3,14,51,89
GAB,Gabon,Africa,c,2022,NF,7,5,0,0,0,0,1,0,0,1,2,0,1,0,1,0,,3,1,3,1,2,7,1,1,1,3,0,1,1,1,3,2,1,1,1,5,18,21
GEO,Georgia,Eurasia,c,2022,PF,4,3,2,2,3,7,2,2,2,2,8,2,2,3,7,0,,22,2,2,3,2,9,2,3,2,7,2,2,2,2,8,4,3,3,2,12,36,58
DEU,Germany,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,,39,4,3,4,3,14,4,4,4,12,4,4,3,3,14,4,4,4,3,15,55,94
GHA,Ghana,Africa,c,2022,F,2,2,4,4,4,12,3,4,3,3,13,4,3,3,10,0,,35,3,3,4,4,14,3,4,3,10,2,3,3,2,10,3,3,3,2,11,45,80
GRC,Greece,Europe,c,2022,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,3,4,4,14,3,4,4,11,3,3,3,2,11,4,3,4,3,14,50,87
GRD,Grenada,Americas,c,2022,F,1,2,4,4,3,11,4,4,4,4,16,4,3,3,10,0,,37,3,4,4,4,15,4,4,3,11,4,3,3,3,13,4,3,3,3,13,52,89
GTM,Guatemala,Americas,c,2022,PF,4,4,2,3,2,7,3,3,2,2,10,2,1,1,4,0,,21,2,4,3,2,11,2,2,2,6,1,1,2,1,5,3,2,2,1,8,30,51
GIN,Guinea,Africa,c,2022,NF,6,5,0,0,1,1,2,2,1,2,7,0,1,1,2,0,,10,2,3,3,2,10,1,1,2,4,1,1,1,1,4,2,2,1,1,6,24,34
GNB,Guinea-Bissau,Africa,c,2022,PF,5,4,2,3,2,7,3,2,1,2,8,1,1,0,2,0,,17,1,3,3,3,10,1,2,3,6,1,0,2,2,5,2,1,1,1,5,26,43
GUY,Guyana,Americas,c,2022,F,2,3,3,3,3,9,4,4,3,2,13,4,2,2,8,0,,30,3,4,4,4,15,4,4,3,11,2,2,2,2,8,3,2,2,2,9,43,73
HTI,Haiti,Americas,c,2022,NF,6,5,1,0,2,3,1,1,1,2,5,1,1,1,3,0,,11,2,3,2,2,9,2,1,1,4,1,1,1,1,4,1,2,2,0,5,22,33
HND,Honduras,Americas,c,2022,PF,4,4,3,2,3,8,3,3,1,2,9,2,1,1,4,0,,21,1,4,2,2,9,2,1,2,5,1,1,1,1,4,2,2,2,2,8,26,47
HUN,Hungary,Europe,c,2022,PF,3,3,3,3,3,9,3,2,3,3,11,2,2,2,6,0,,26,2,3,2,3,10,4,2,4,10,2,3,3,2,10,4,3,3,3,13,43,69
ISL,Iceland,Europe,c,2022,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,,37,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,94
IND,India,Asia,c,2022,PF,2,4,4,4,4,12,3,4,3,2,12,4,2,3,9,0,,33,2,2,2,3,9,2,2,3,7,2,2,2,2,8,2,3,2,2,9,33,66
IDN,Indonesia,Asia,c,2022,PF,2,4,4,4,3,11,4,4,3,2,13,3,1,2,6,0,,30,3,1,2,3,9,2,2,2,6,2,1,1,1,5,3,2,2,2,9,29,59
IRN,Iran,Middle East,c,2022,NF,7,6,0,1,1,2,0,1,0,1,2,0,0,0,0,0,,4,0,0,1,1,2,0,0,1,1,1,1,0,1,3,1,1,1,1,4,10,14
IRQ,Iraq,Middle East,c,2022,NF,5,6,2,3,3,8,3,2,1,1,7,1,0,1,2,1,,16,1,1,1,1,4,0,2,2,4,0,0,1,0,1,1,1,1,1,4,13,29
IRL,Ireland,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,4,16,58,97
ISR,Israel,Middle East,c,2022,F,2,3,4,4,4,12,3,4,4,2,13,4,2,3,9,0,,34,3,3,3,3,12,2,2,4,8,4,3,2,2,11,3,3,3,2,11,42,76
ITA,Italy,Europe,c,2022,F,1,1,4,4,4,12,4,4,3,3,14,4,3,3,10,0,,36,3,4,4,4,15,4,4,4,12,4,3,3,3,13,4,3,4,3,14,54,90
JAM,Jamaica,Americas,c,2022,F,2,2,4,4,4,12,4,4,2,3,13,4,3,2,9,0,,34,4,4,4,3,15,4,4,3,11,4,2,2,1,9,3,3,2,3,11,46,80
JPN,Japan,Asia,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,96
JOR,Jordan,Middle East,c,2022,NF,6,5,0,1,1,2,2,1,1,2,6,0,2,1,3,0,,11,1,2,2,2,7,0,1,0,1,2,1,2,2,7,2,2,2,1,7,22,33
KAZ,Kazakhstan,Eurasia,c,2022,NF,7,5,0,0,1,1,1,0,1,1,3,0,1,0,1,0,,5,0,1,2,1,4,1,1,0,2,1,1,1,1,4,2,2,2,2,8,18,23
KEN,Kenya,Africa,c,2022,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,2,5,0,,19,2,2,3,3,10,2,2,3,7,2,1,1,1,5,2,1,2,2,7,29,48
KIR,Kiribati,Asia,c,2022,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,3,3,3,13,56,93
KWT,Kuwait,Middle East,c,2022,PF,5,5,0,2,1,3,2,2,2,1,7,1,1,2,4,0,,14,1,2,2,1,6,1,2,1,4,1,2,2,2,7,2,1,2,1,6,23,37
KGZ,Kyrgyzstan,Eurasia,c,2022,NF,7,5,0,1,1,2,1,1,0,1,3,0,0,0,0,1,,4,2,2,3,3,10,1,1,2,4,0,0,1,1,2,2,2,2,1,7,23,27
LAO,Laos,Asia,c,2022,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,2,0,1,1,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,6,11,13
LVA,Latvia,Europe,c,2022,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,4,3,4,14,4,4,4,12,3,3,3,2,11,4,4,3,3,14,51,88
LBN,Lebanon,Middle East,c,2022,PF,5,4,1,2,2,5,3,1,1,2,7,1,0,0,1,0,,13,2,3,3,2,10,3,3,2,8,1,1,2,1,5,1,2,2,1,6,29,42
LSO,Lesotho,Africa,c,2022,PF,3,3,3,4,3,10,3,3,2,3,11,2,2,2,6,0,,27,2,4,3,3,12,2,3,2,7,2,2,2,2,8,3,2,2,2,9,36,63
LBR,Liberia,Africa,c,2022,PF,3,4,3,3,2,8,3,3,3,3,12,3,2,2,7,0,,27,2,3,3,3,11,2,3,2,7,1,1,2,2,6,3,2,2,2,9,33,60
LBY,Libya,Africa,c,2022,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,4,1,1,0,2,0,0,0,0,0,0,1,1,0,2,8,9
LIE,Liechtenstein,Europe,c,2022,F,2,1,2,4,4,10,4,3,3,3,13,2,4,4,10,0,,33,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,3,4,15,57,90
LTU,Lithuania,Europe,c,2022,F,1,2,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,3,4,4,4,15,4,4,3,11,3,3,3,2,11,4,4,3,3,14,51,89
LUX,Luxembourg,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,97
MDG,Madagascar,Africa,c,2022,PF,3,4,3,3,3,9,3,3,3,2,11,3,2,2,7,0,,27,2,3,3,3,11,2,3,3,8,2,1,2,2,7,3,2,2,1,8,34,61
MWI,Malawi,Africa,c,2022,PF,3,3,3,3,3,9,3,3,3,3,12,3,2,3,8,0,,29,2,4,4,3,13,3,2,3,8,3,2,2,2,9,2,2,1,2,7,37,66
MYS,Malaysia,Asia,c,2022,PF,4,4,2,2,2,6,2,3,2,2,9,1,2,2,5,0,,20,2,1,2,3,8,2,2,2,6,2,2,2,1,7,3,3,2,1,9,30,50
MDV,Maldives,Asia,c,2022,PF,4,5,2,3,2,7,3,2,2,1,8,2,1,1,4,0,,19,1,0,1,1,3,2,1,2,5,1,1,2,2,6,2,2,1,2,7,21,40
MLI,Mali,Africa,c,2022,NF,6,5,0,0,1,1,2,1,0,2,5,0,1,1,2,0,,8,2,2,3,3,10,2,2,2,6,2,1,0,1,4,1,1,1,1,4,24,32
MLT,Malta,Europe,c,2022,F,2,1,4,4,4,12,3,4,3,4,14,4,2,3,9,0,,35,3,4,4,3,14,4,4,4,12,4,4,3,3,14,4,4,3,3,14,54,89
MHL,Marshall Islands,Asia,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,93
MRT,Mauritania,Africa,c,2022,PF,5,5,2,2,2,6,2,1,1,0,4,1,2,1,4,0,,14,2,2,3,2,9,1,1,2,4,1,1,1,1,4,1,2,1,0,4,21,35
MUS,Mauritius,Africa,c,2022,F,1,2,4,4,3,11,4,4,4,3,15,4,3,3,10,0,,36,3,4,4,3,14,4,4,3,11,3,4,3,3,13,4,3,3,2,12,50,86
MEX,Mexico,Americas,c,2022,PF,3,4,3,3,3,9,4,4,2,3,13,2,1,2,5,0,,27,2,4,3,3,12,3,2,2,7,2,1,1,1,5,3,2,2,2,9,33,60
FSM,Micronesia,Asia,c,2022,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
MDA,Moldova,Eurasia,c,2022,PF,3,3,4,3,3,10,3,4,2,3,12,3,1,1,5,0,,27,2,3,3,4,12,3,3,2,8,1,1,2,2,6,3,2,2,2,9,35,62
MCO,Monaco,Europe,c,2022,F,3,1,0,4,4,8,3,2,2,3,10,2,3,4,9,0,,27,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,3,4,4,15,57,84
MNG,Mongolia,Asia,c,2022,F,1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,,36,3,4,4,3,14,4,4,3,11,2,3,3,3,11,4,3,3,2,12,48,84
MNE,Montenegro,Europe,c,2022,PF,3,3,3,3,3,9,3,3,2,3,11,3,1,2,6,0,,26,3,3,3,3,12,3,3,3,9,2,1,3,3,9,3,2,3,3,11,41,67
MAR,Morocco,Africa,c,2022,PF,5,5,1,2,2,5,2,1,1,1,5,1,1,1,3,0,,13,1,2,2,2,7,1,2,2,5,1,1,2,1,5,2,2,2,1,7,24,37
MOZ,Mozambique,Africa,c,2022,PF,5,4,1,1,1,3,2,1,2,2,7,1,1,2,4,0,,14,2,3,2,2,9,2,2,2,6,2,2,0,2,6,2,2,2,2,8,29,43
MMR,Myanmar,Asia,c,2022,NF,7,6,0,0,0,0,1,1,0,1,3,0,1,0,1,4,,0,1,1,0,1,3,0,1,1,2,0,0,0,0,0,1,1,1,1,4,9,9
NAM,Namibia,Africa,c,2022,F,2,2,4,4,3,11,3,3,3,3,12,3,3,2,8,0,,31,3,4,4,3,14,3,4,4,11,3,3,3,2,11,3,3,2,2,10,46,77
NRU,Nauru,Asia,c,2022,F,2,3,4,4,4,12,4,3,4,3,14,3,3,2,8,0,,34,2,4,4,3,13,3,3,3,9,2,2,3,2,9,3,3,3,3,12,43,77
