CAMEO_Code,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
GBR,United Kingdom,Europe,c,2021,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,4,4,3,3,14,4,4,4,12,4,3,3,3,13,4,4,4,3,15,54,93
USA,United States,Americas,c,2021,F,2,2,3,4,3,10,4,4,3,3,14,3,3,2,8,0,,32,3,4,4,4,15,3,4,3,10,3,3,3,2,11,4,4,4,3,15,51,83
URY,Uruguay,Americas,c,2021,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,3,4,4,15,4,4,4,3,15,58,98
UZB,Uzbekistan,Eurasia,c,2021,NF,7,6,0,0,1,1,0,0,0,0,0,0,0,1,1,0,,2,1,0,1,1,3,0,1,0,1,0,0,1,0,1,1,1,1,1,4,9,11
VUT,Vanuatu,Asia,c,2021,F,2,2,3,4,3,10,4,4,4,3,15,3,2,3,8,0,,33,2,4,4,4,14,4,4,3,11,4,3,3,3,13,4,3,2,2,11,49,82
VEN,Venezuela,Americas,c,2021,NF,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1,1,3,1,1,6,0,1,1,2,0,0,0,1,1,1,1,2,0,4,13,14
VNM,Vietnam,Asia,c,2021,NF,7,6,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,3,0,1,1,1,3,1,0,0,1,1,1,1,1,4,2,1,3,2,8,16,19
YEM,Yemen,Middle East,c,2021,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,0,1,1,1,3,1,1,1,3,1,0,0,1,2,0,1,1,0,2,10,11
ZMB,Zambia,Africa,c,2021,PF,4,4,2,2,2,6,2,2,3,3,10,2,1,1,4,0,,20,1,3,3,2,9,2,2,3,7,2,2,2,2,8,3,2,2,1,8,32,52
ZWE,Zimbabwe,Africa,c,2021,NF,6,5,1,1,1,3,2,1,1,1,5,1,1,1,3,0,,11,1,3,2,1,7,1,1,1,3,1,0,0,1,2,2,1,1,1,5,17,28
AFG,Afghanistan,Asia,c,2020,NF,5,6,1,1,1,3,2,2,1,2,7,1,1,1,3,0,,13,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,0,1,2,14,27
ALB,Albania,Europe,c,2020,PF,3,3,3,3,2,8,3,3,3,3,12,3,2,2,7,0,,27,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,67
DZA,Algeria,Africa,c,2020,NF,6,5,1,1,1,3,1,1,1,1,4,1,1,1,3,0,,10,1,1,2,3,7,2,1,1,4,1,1,2,2,6,2,2,2,1,7,24,34
AND,Andorra,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,,39,3,3,4,4,14,4,4,3,11,4,4,4,3,15,4,4,3,4,15,55,94
AGO,Angola,Africa,c,2020,NF,6,5,0,2,1,3,2,1,1,2,6,1,1,0,2,0,,11,1,2,2,2,7,2,2,2,6,1,1,1,2,5,1,1,1,0,3,21,32
ARG,Argentina,Americas,c,2020,F,2,2,4,4,3,11,4,4,4,4,16,3,2,3,8,0,,35,3,4,4,4,15,4,4,3,11,2,3,2,3,10,4,3,4,3,14,50,85
ARM,Armenia,Eurasia,c,2020,PF,4,4,2,2,2,6,3,3,2,2,10,2,1,2,5,0,,21,2,2,2,3,9,3,3,2,8,1,1,2,2,6,3,2,2,2,9,32,53
AUS,Australia,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,97
AUT,Austria,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,3,4,4,14,4,4,4,12,4,4,4,3,15,4,4,4,3,15,56,93
AZE,Azerbaijan,Eurasia,c,2020,NF,7,6,0,0,0,0,1,0,1,0,2,0,0,0,0,0,,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,1,2,1,5,8,10
BHS,Bahamas,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,3,4,4,4,15,4,4,4,12,4,3,4,2,13,3,4,3,3,13,53,91
BHR,Bahrain,Middle East,c,2020,NF,7,6,0,1,1,2,0,0,0,0,0,0,2,0,2,3,,1,0,1,0,1,2,0,0,1,1,0,1,0,0,1,1,2,2,1,6,10,11
BGD,Bangladesh,Asia,c,2020,PF,5,5,1,1,2,4,2,1,2,2,7,1,1,2,4,0,,15,1,2,1,2,6,2,2,1,5,1,1,1,1,4,3,2,2,2,9,24,39
BRB,Barbados,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,4,15,57,95
BLR,Belarus,Eurasia,c,2020,NF,7,6,0,0,0,0,1,0,1,1,3,0,1,1,2,0,,5,0,1,0,1,2,1,1,1,3,0,1,0,1,2,2,2,2,1,7,14,19
BEL,Belgium,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96
BLZ,Belize,Americas,c,2020,F,2,2,4,4,4,12,4,4,4,2,14,4,2,3,9,0,,35,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,3,13,51,86
BEN,Benin,Africa,c,2020,PF,4,2,3,1,1,5,2,1,3,3,9,2,2,3,7,0,,21,3,4,4,4,15,2,4,3,9,2,3,3,3,11,3,3,2,2,10,45,66
BTN,Bhutan,Asia,c,2020,PF,3,4,3,4,3,10,3,4,2,2,11,3,3,3,9,1,,29,2,2,2,3,9,2,2,1,5,3,2,2,1,8,2,2,2,2,8,30,59
BOL,Bolivia,Americas,c,2020,PF,3,3,3,4,1,8,3,2,2,3,10,3,2,2,7,0,,25,2,4,4,4,14,2,3,3,8,1,1,2,2,6,3,2,3,2,10,38,63
BIH,Bosnia and Herzegovina,Europe,c,2020,PF,4,4,2,2,2,6,3,2,2,2,9,2,1,1,4,0,,19,2,3,2,3,10,3,2,2,7,1,2,2,2,7,3,2,3,2,10,34,53
BWA,Botswana,Africa,c,2020,F,3,2,3,4,3,10,3,2,3,2,10,3,3,2,8,0,,28,2,4,3,3,12,4,4,2,10,3,3,3,2,11,3,3,2,3,11,44,72
BRA,Brazil,Americas,c,2020,F,2,2,3,3,4,10,4,4,3,3,14,3,2,2,7,0,,31,3,4,4,3,14,3,3,3,9,3,2,1,2,8,4,3,3,3,13,44,75
BRN,Brunei,Asia,c,2020,NF,6,5,0,0,0,0,1,0,1,1,3,0,3,1,4,0,,7,1,1,2,2,6,1,1,1,3,1,2,1,1,5,2,2,1,2,7,21,28
BGR,Bulgaria,Europe,c,2020,F,2,2,4,4,3,11,4,4,3,3,14,4,2,3,9,0,,34,2,3,4,4,13,4,4,3,11,3,2,3,2,10,4,3,3,2,12,46,80
BFA,Burkina Faso,Africa,c,2020,PF,4,4,2,2,3,7,2,3,2,3,10,2,2,2,6,0,,23,2,3,3,3,11,3,2,3,8,2,2,0,2,6,2,2,2,2,8,33,56
BDI,Burundi,Africa,c,2020,NF,7,6,0,0,0,0,1,0,0,2,3,0,0,0,0,0,,3,0,3,1,0,4,0,0,1,1,0,0,0,1,1,1,1,1,1,4,10,13
KHM,Cambodia,Asia,c,2020,NF,7,5,0,0,1,1,0,0,1,1,2,0,1,1,2,0,,5,1,3,2,2,8,1,1,1,3,0,1,1,1,3,2,1,2,1,6,20,25
CMR,Cameroon,Africa,c,2020,NF,6,6,0,1,0,1,1,0,1,1,3,1,1,1,3,0,,7,0,2,1,1,4,0,1,1,2,0,1,0,0,1,1,1,1,1,4,11,18
CAN,Canada,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,4,16,58,98
CAF,Central African Republic,Africa,c,2020,NF,7,7,1,1,1,3,1,1,0,0,2,0,0,0,0,1,,4,1,0,2,1,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,6,10
TCD,Chad,Africa,c,2020,NF,7,6,1,0,0,1,1,0,0,0,1,1,0,0,1,0,,3,1,1,2,2,6,1,1,2,4,0,1,0,0,1,1,1,0,1,3,14,17
CHL,Chile,Americas,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,4,3,4,15,2,4,4,10,4,4,2,3,13,3,4,4,3,14,52,90
CHN,China,Asia,c,2020,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,1,2,3,,-1,0,0,0,1,1,1,0,1,2,1,1,0,0,2,1,1,2,2,6,11,10
COL,Colombia,Americas,c,2020,PF,3,3,4,3,3,10,3,3,2,3,11,3,2,3,8,0,,29,2,4,3,3,12,2,2,2,6,3,2,2,2,9,3,2,3,2,10,37,66
COM,Comoros,Africa,c,2020,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,1,4,0,,18,1,2,3,2,8,1,2,3,6,1,1,2,2,6,2,2,1,1,6,26,44
CRI,Costa Rica,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,91
HRV,Croatia,Europe,c,2020,F,1,2,4,4,4,12,4,4,3,3,14,4,3,3,10,0,,36,3,3,3,4,13,4,4,4,12,3,3,3,2,11,4,3,3,3,13,49,85
CUB,Cuba,Americas,c,2020,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,1,1,3,0,1,5,0,0,0,0,0,0,1,1,2,1,1,3,1,6,13,14
CYP,Cyprus,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,4,3,4,15,4,4,4,12,4,4,4,3,15,3,4,4,3,14,56,94
CZE,Czech Republic,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,2,3,9,0,,36,3,3,4,4,14,4,4,4,12,3,4,4,3,14,4,4,4,3,15,55,91
DNK,Denmark,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,3,4,3,14,4,4,3,4,15,57,97
DJI,Djibouti,Africa,c,2020,NF,7,5,0,1,1,2,1,0,1,1,3,0,0,0,0,0,,5,0,2,2,2,6,0,1,2,3,0,2,1,1,4,2,2,1,1,6,19,24
DMA,Dominica,Americas,c,2020,F,1,1,4,4,3,11,4,4,4,4,16,4,3,3,10,0,,37,3,4,4,4,15,3,4,4,11,4,4,4,3,15,4,4,3,4,15,56,93
DOM,Dominican Republic,Americas,c,2020,PF,3,3,3,3,3,9,3,3,3,1,10,3,2,2,7,0,,26,2,4,4,4,14,3,4,3,10,3,2,2,1,8,2,3,2,2,9,41,67
ECU,Ecuador,Americas,c,2020,PF,3,3,3,3,2,8,3,3,3,3,12,3,2,2,7,0,,27,2,4,3,3,12,2,3,3,8,2,2,2,2,8,3,2,3,2,10,38,65
EGY,Egypt,Africa,c,2020,NF,6,6,0,1,1,2,0,0,1,2,3,0,1,1,2,0,,7,1,1,1,1,4,0,0,1,1,1,1,0,1,3,1,2,2,1,6,14,21
SLV,El Salvador,Americas,c,2020,PF,2,4,4,3,4,11,4,4,2,3,13,3,2,3,8,0,,32,2,3,3,3,11,3,3,2,8,2,2,1,2,7,2,2,2,2,8,34,66
GNQ,Equatorial Guinea,Africa,c,2020,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,3,6,6
ERI,Eritrea,Africa,c,2020,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
EST,Estonia,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,3,14,56,94
SWZ,Eswatini,Africa,c,2020,NF,7,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,1,1,2,1,1,5,1,1,1,3,2,1,1,1,5,2,1,1,1,5,18,19
ETH,Ethiopia,Africa,c,2020,NF,6,6,0,0,2,2,2,1,1,1,5,0,2,1,3,0,,10,1,1,1,1,4,1,2,1,4,1,0,0,1,2,1,1,1,1,4,14,24
FJI,Fiji,Asia,c,2020,PF,3,3,3,2,3,8,3,1,2,3,9,3,2,2,7,0,,24,2,4,3,3,12,2,3,2,7,2,1,2,2,7,3,3,2,2,10,36,60
FIN,Finland,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
FRA,France,Europe,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,3,4,3,14,3,4,4,11,4,3,3,3,13,4,4,3,3,14,52,90
GAB,Gabon,Africa,c,2020,NF,7,5,0,0,0,0,1,0,0,1,2,0,1,0,1,0,,3,1,3,2,2,8,1,1,1,3,0,1,1,1,3,2,1,1,1,5,19,22
GEO,Georgia,Eurasia,c,2020,PF,3,3,2,3,3,8,2,3,2,2,9,2,2,3,7,0,,24,2,2,3,3,10,2,3,2,7,2,2,2,2,8,4,3,3,2,12,37,61
DEU,Germany,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,,39,4,3,4,3,14,4,4,4,12,4,4,3,3,14,4,4,4,3,15,55,94
GHA,Ghana,Africa,c,2020,F,2,2,4,4,4,12,3,4,3,3,13,4,3,3,10,0,,35,3,3,4,4,14,4,4,3,11,2,3,3,3,11,3,3,3,2,11,47,82
GRC,Greece,Europe,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,4,3,14,51,88
GRD,Grenada,Americas,c,2020,F,1,2,4,4,3,11,4,4,4,4,16,4,3,3,10,0,,37,3,4,4,4,15,4,4,3,11,4,3,3,3,13,4,3,3,3,13,52,89
GTM,Guatemala,Americas,c,2020,PF,4,4,2,3,2,7,3,3,2,2,10,2,1,1,4,0,,21,2,4,3,2,11,2,2,2,6,2,1,2,1,6,3,2,2,1,8,31,52
GIN,Guinea,Africa,c,2020,PF,5,5,3,0,2,5,2,2,1,2,7,1,1,1,3,0,,15,2,3,3,3,11,1,1,2,4,1,1,1,1,4,2,2,1,1,6,25,40
GNB,Guinea-Bissau,Africa,c,2020,PF,5,4,2,3,2,7,3,2,1,2,8,1,1,0,2,0,,17,2,3,3,3,11,2,3,3,8,1,0,2,2,5,2,1,1,1,5,29,46
GUY,Guyana,Americas,c,2020,F,2,3,3,4,3,10,4,4,3,2,13,4,2,2,8,0,,31,3,4,4,4,15,4,4,3,11,2,2,2,2,8,3,2,2,2,9,43,74
HTI,Haiti,Americas,c,2020,PF,5,5,2,1,2,5,2,1,2,2,7,1,1,2,4,0,,16,2,3,2,3,10,1,1,1,3,1,1,1,1,4,1,2,2,0,5,22,38
HND,Honduras,Americas,c,2020,PF,4,4,2,3,2,7,3,2,1,2,8,2,1,1,4,0,,19,1,4,2,2,9,1,1,2,4,1,2,1,1,5,2,2,2,2,8,26,45
HUN,Hungary,Europe,c,2020,PF,3,3,3,3,3,9,3,2,3,3,11,3,2,2,7,0,,27,2,3,2,3,10,4,2,4,10,2,3,3,2,10,4,3,3,3,13,43,70
ISL,Iceland,Europe,c,2020,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,,37,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,94
IND,India,Asia,c,2020,F,2,3,4,4,4,12,4,4,3,2,13,4,2,3,9,0,,34,2,2,2,4,10,2,3,3,8,3,2,2,2,9,3,3,2,2,10,37,71
IDN,Indonesia,Asia,c,2020,PF,2,4,4,4,3,11,4,4,3,2,13,3,1,2,6,0,,30,3,1,3,3,10,2,2,3,7,2,1,1,1,5,3,2,2,2,9,31,61
IRN,Iran,Middle East,c,2020,NF,6,6,1,1,1,3,0,1,0,1,2,1,0,1,2,0,,7,0,0,1,1,2,0,0,1,1,1,1,0,1,3,1,1,1,1,4,10,17
IRQ,Iraq,Middle East,c,2020,NF,5,6,2,3,3,8,3,3,1,1,8,1,0,1,2,1,,17,1,1,1,2,5,0,2,2,4,0,0,1,0,1,1,1,1,1,4,14,31
IRL,Ireland,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,4,16,58,97
ISR,Israel,Middle East,c,2020,F,2,3,4,4,4,12,3,4,4,2,13,3,2,3,8,0,,33,3,3,3,3,12,3,2,4,9,4,3,2,2,11,3,3,3,2,11,43,76
ITA,Italy,Europe,c,2020,F,1,1,4,4,4,12,4,4,3,3,14,4,3,3,10,0,,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,3,4,3,14,53,89
JAM,Jamaica,Americas,c,2020,F,2,2,4,4,4,12,4,4,2,3,13,4,3,2,9,0,,34,4,4,4,3,15,3,4,3,10,3,2,2,1,8,3,3,2,3,11,44,78
JPN,Japan,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,96
JOR,Jordan,Middle East,c,2020,PF,5,5,0,1,2,3,2,1,1,2,6,0,2,1,3,0,,12,1,2,2,2,7,1,1,1,3,2,1,2,2,7,2,2,2,2,8,25,37
KAZ,Kazakhstan,Eurasia,c,2020,NF,7,5,0,0,1,1,1,0,1,1,3,0,1,0,1,0,,5,0,1,2,1,4,1,1,0,2,1,1,1,1,4,2,2,2,2,8,18,23
KEN,Kenya,Africa,c,2020,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,2,5,0,,19,2,2,3,3,10,2,2,3,7,2,1,1,1,5,2,1,2,2,7,29,48
KIR,Kiribati,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,3,3,3,13,56,93
KWT,Kuwait,Middle East,c,2020,PF,5,5,0,1,1,2,2,2,2,1,7,1,1,2,4,0,,13,1,2,2,1,6,1,2,1,4,1,2,2,2,7,2,1,2,1,6,23,36
KGZ,Kyrgyzstan,Eurasia,c,2020,PF,5,4,1,2,1,4,2,1,1,1,5,1,1,2,4,1,,12,2,2,3,3,10,2,2,2,6,1,1,1,1,4,2,2,2,1,7,27,39
LAO,Laos,Asia,c,2020,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,2,0,2,1,1,4,0,0,0,0,0,0,1,1,2,2,1,2,1,6,12,14
LVA,Latvia,Europe,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,4,3,4,14,4,4,4,12,3,3,3,3,12,4,4,3,3,14,52,89
LBN,Lebanon,Middle East,c,2020,PF,5,4,1,2,2,5,3,1,1,2,7,1,0,1,2,0,,14,2,3,3,3,11,3,3,2,8,1,1,2,1,5,1,2,2,1,6,30,44
LSO,Lesotho,Africa,c,2020,PF,3,3,3,4,3,10,3,3,2,3,11,2,2,2,6,0,,27,2,4,3,3,12,2,3,2,7,2,2,2,2,8,3,2,2,2,9,36,63
LBR,Liberia,Africa,c,2020,PF,3,4,3,3,2,8,3,3,3,3,12,3,2,2,7,0,,27,2,3,3,3,11,2,3,2,7,1,1,2,2,6,3,2,2,2,9,33,60
LBY,Libya,Africa,c,2020,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,4,1,1,0,2,0,0,0,0,0,0,1,1,0,2,8,9
LIE,Liechtenstein,Europe,c,2020,F,2,1,2,4,4,10,4,3,3,3,13,2,4,4,10,0,,33,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,3,4,15,57,90
LTU,Lithuania,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,3,11,3,3,3,3,12,4,4,3,3,14,53,91
LUX,Luxembourg,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,98
MDG,Madagascar,Africa,c,2020,PF,3,3,3,3,3,9,3,3,3,2,11,2,2,2,6,0,,26,2,3,3,3,11,3,3,3,9,2,1,2,2,7,3,2,2,1,8,35,61
MWI,Malawi,Africa,c,2020,PF,3,3,3,3,2,8,3,3,3,3,12,3,1,2,6,0,,26,2,4,4,3,13,2,2,3,7,3,2,2,2,9,2,2,1,2,7,36,62
MYS,Malaysia,Asia,c,2020,PF,4,4,2,2,2,6,2,3,2,2,9,2,2,2,6,0,,21,3,1,2,3,9,2,2,2,6,2,2,2,1,7,3,3,2,1,9,31,52
MDV,Maldives,Asia,c,2020,PF,4,5,2,3,2,7,3,2,1,1,7,2,1,1,4,0,,18,1,0,1,1,3,3,1,2,6,1,1,2,2,6,2,2,1,2,7,22,40
MLI,Mali,Africa,c,2020,PF,5,5,2,1,2,5,2,2,2,2,8,2,1,1,4,0,,17,2,2,3,3,10,2,2,2,6,2,1,0,1,4,1,1,1,1,4,24,41
MLT,Malta,Europe,c,2020,F,2,1,4,4,4,12,3,4,3,4,14,4,2,3,9,0,,35,3,4,4,3,14,4,4,4,12,4,4,4,3,15,4,4,3,3,14,55,90
MHL,Marshall Islands,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,93
MRT,Mauritania,Africa,c,2020,PF,5,5,2,2,2,6,1,1,1,0,3,1,2,1,4,0,,13,2,2,3,2,9,1,1,2,4,1,1,1,1,4,1,2,1,0,4,21,34
MUS,Mauritius,Africa,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,4,4,4,15,4,4,4,12,3,4,3,3,13,4,3,3,2,12,52,89
MEX,Mexico,Americas,c,2020,PF,3,3,3,3,3,9,4,4,2,3,13,2,1,2,5,0,,27,2,4,4,3,13,3,2,2,7,2,1,1,1,5,3,2,3,2,10,35,62
FSM,Micronesia,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
MDA,Moldova,Eurasia,c,2020,PF,3,4,4,3,2,9,3,4,2,3,12,3,1,1,5,0,,26,2,3,3,3,11,3,3,2,8,1,1,2,2,6,3,2,2,2,9,34,60
MCO,Monaco,Europe,c,2020,F,3,1,0,4,4,8,3,2,2,3,10,2,3,3,8,0,,26,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,3,4,4,15,57,83
MNG,Mongolia,Asia,c,2020,F,1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,,36,3,4,4,3,14,4,4,3,11,2,3,3,3,11,4,3,3,2,12,48,84
MNE,Montenegro,Europe,c,2020,PF,4,3,3,2,3,8,2,2,2,3,9,2,1,2,5,0,,22,2,3,3,3,11,3,3,3,9,2,1,3,3,9,3,2,3,3,11,40,62
MAR,Morocco,Africa,c,2020,PF,5,5,1,2,2,5,2,1,1,1,5,1,1,1,3,0,,13,1,2,2,2,7,1,2,2,5,1,1,2,1,5,2,2,2,1,7,24,37
MOZ,Mozambique,Africa,c,2020,PF,5,4,1,1,1,3,2,1,2,2,7,1,1,2,4,0,,14,2,3,2,2,9,2,2,2,6,2,2,1,2,7,3,2,2,2,9,31,45
MMR,Myanmar,Asia,c,2020,NF,5,6,2,2,1,5,3,3,2,1,9,2,1,1,4,4,,14,1,1,1,2,5,2,2,2,6,0,1,0,0,1,1,1,1,1,4,16,30
NAM,Namibia,Africa,c,2020,F,2,2,4,4,3,11,3,3,3,3,12,3,3,2,8,0,,31,3,4,4,3,14,3,4,4,11,3,3,3,2,11,3,3,2,2,10,46,77
NRU,Nauru,Asia,c,2020,F,2,3,4,4,4,12,4,3,4,3,14,3,3,2,8,0,,34,2,4,4,3,13,3,3,3,9,2,2,3,2,9,3,3,3,3,12,43,77
NPL,Nepal,Asia,c,2020,PF,3,4,3,4,3,10,3,3,2,2,10,3,1,1,5,0,,25,2,2,3,3,10,3,2,2,7,2,1,2,1,6,3,2,2,1,8,31,56
NLD,Netherlands,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
NZL,New Zealand,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,3,15,57,97
NIC,Nicaragua,Americas,c,2020,NF,6,5,1,1,1,3,1,0,1,2,4,1,1,1,3,0,,10,1,2,2,2,7,0,0,2,2,1,0,1,2,4,2,2,2,2,8,21,31
NER,Niger,Africa,c,2020,PF,4,4,2,2,2,6,2,2,2,2,8,2,2,2,6,0,,20,2,2,3,3,10,2,2,2,6,1,2,1,2,6,2,2,1,1,6,28,48
NGA,Nigeria,Africa,c,2020,PF,4,5,2,2,2,6,3,3,2,2,10,2,2,2,6,0,,22,2,1,3,3,9,2,2,3,7,2,1,0,1,4,1,2,1,1,5,25,47
MKD,North Macedonia,Europe,c,2020,PF,3,3,2,2,3,7,3,3,2,3,11,2,2,2,6,0,,24,3,3,3,3,12,3,3,2,8,2,2,3,2,9,3,3,2,2,10,39,63
NOR,Norway,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
OMN,Oman,Middle East,c,2020,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,0,2,0,,6,1,2,1,1,5,0,1,2,3,0,1,2,1,4,1,2,1,1,5,17,23
PAK,Pakistan,Asia,c,2020,PF,5,5,1,2,2,5,2,2,1,1,6,1,1,3,5,0,,16,1,1,2,2,6,3,1,2,6,1,1,1,1,4,2,2,1,1,6,22,38
PLW,Palau,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
PAN,Panama,Americas,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,2,3,9,0,,36,3,4,4,4,15,4,4,3,11,2,2,3,3,10,4,3,3,2,12,48,84
PNG,Papua New Guinea,Asia,c,2020,PF,4,3,3,2,2,7,4,4,2,3,13,2,0,1,3,0,,23,3,4,3,4,14,3,4,3,10,3,1,1,2,7,2,2,2,2,8,39,62
PRY,Paraguay,Americas,c,2020,PF,3,3,3,4,3,10,3,4,3,2,12,2,2,2,6,0,,28,2,4,3,3,12,3,3,2,8,2,1,2,2,7,3,3,2,2,10,37,65
PER,Peru,Americas,c,2020,F,2,3,4,4,3,11,4,4,3,2,13,2,2,2,6,0,,30,3,4,4,4,15,3,3,2,8,2,2,2,2,8,4,3,2,2,11,42,72
PHL,Philippines,Asia,c,2020,PF,3,4,3,3,3,9,3,2,2,3,10,3,1,2,6,0,,25,2,4,4,4,14,3,2,2,7,1,0,1,1,3,3,2,3,2,10,34,59
